,0,1,2,3,4,5,6,7,8,9
0,03/12/1997,01,20,36,39,41,72,76,88,00
1,06/12/1997,02,02,04,25,29,30,52,24,00
2,10/12/1997,03,01,02,14,23,78,88,40,00
3,13/12/1997,04,05,22,34,61,62,77,58,00
4,17/12/1997,05,10,65,77,80,81,86,89,00
5,20/12/1997,06,03,27,48,58,78,90,45,00
6,24/12/1997,07,13,59,63,75,85,87,52,00
7,27/12/1997,08,08,26,35,43,55,67,69,00
8,31/12/1997,09,34,36,71,76,86,89,82,00
9,03/01/1998,01,02,29,36,72,82,90,71,00
10,07/01/1998,02,20,23,24,29,66,73,30,00
11,10/01/1998,03,24,33,37,40,60,86,32,00
12,14/01/1998,04,16,37,49,52,53,82,57,00
13,17/01/1998,05,29,37,49,51,55,74,86,00
14,21/01/1998,06,22,25,26,49,59,85,62,00
15,24/01/1998,07,03,04,39,43,56,81,82,00
16,28/01/1998,08,02,03,49,51,63,79,43,00
17,31/01/1998,09,06,13,26,33,34,78,65,00
18,04/02/1998,10,18,23,24,35,48,82,38,00
19,07/02/1998,11,08,09,23,34,64,89,01,00
20,11/02/1998,12,02,15,63,65,68,78,71,00
21,14/02/1998,13,37,40,46,51,58,66,84,00
22,18/02/1998,14,10,12,29,41,45,50,52,00
23,21/02/1998,15,04,19,47,60,73,84,58,00
24,25/02/1998,16,01,27,40,81,82,85,06,00
25,28/02/1998,17,13,68,75,79,87,88,90,00
26,04/03/1998,18,28,36,59,79,84,88,07,00
27,07/03/1998,19,02,12,57,62,64,71,56,00
28,11/03/1998,20,03,23,25,44,74,89,76,00
29,14/03/1998,21,16,33,42,86,88,89,43,00
30,18/03/1998,22,01,05,17,38,61,71,70,00
31,21/03/1998,23,17,30,38,51,77,80,33,00
32,25/03/1998,24,05,06,17,55,62,73,38,00
33,28/03/1998,25,16,40,50,58,62,63,05,00
34,01/04/1998,26,17,31,42,43,55,72,64,00
35,04/04/1998,27,01,07,21,49,84,87,77,00
36,08/04/1998,28,04,07,22,27,39,88,14,00
37,11/04/1998,29,23,58,64,67,79,81,14,00
38,15/04/1998,30,04,05,46,47,73,82,62,00
39,18/04/1998,31,17,38,47,56,76,85,26,00
40,22/04/1998,32,05,22,40,46,86,87,13,00
41,27/04/1998,33,18,36,62,63,76,80,64,00
42,29/04/1998,34,15,23,27,29,50,69,54,00
43,02/05/1998,35,06,12,23,28,77,79,73,00
44,06/05/1998,36,05,28,33,64,81,84,67,00
45,09/05/1998,37,05,19,43,44,73,77,39,00
46,13/05/1998,38,06,15,41,57,81,83,74,00
47,16/05/1998,39,07,19,25,68,71,85,46,00
48,20/05/1998,40,05,13,22,25,43,50,45,00
49,23/05/1998,41,07,12,24,37,58,81,10,00
50,27/05/1998,42,36,48,56,65,71,73,38,00
51,30/05/1998,43,04,11,29,34,86,88,59,00
52,03/06/1998,44,48,50,80,81,84,87,42,00
53,06/06/1998,45,13,18,22,56,67,72,65,00
54,10/06/1998,46,05,14,17,38,64,68,83,00
55,13/06/1998,47,13,26,30,34,83,86,64,00
56,17/06/1998,48,10,16,35,39,64,65,70,00
57,20/06/1998,49,20,24,39,63,65,70,36,00
58,24/06/1998,50,19,43,59,60,67,79,10,00
59,27/06/1998,51,02,16,38,40,44,57,28,00
60,01/07/1998,52,25,33,37,47,48,79,29,00
61,04/07/1998,53,29,42,49,52,53,67,55,00
62,08/07/1998,54,05,20,24,48,78,80,06,00
63,11/07/1998,55,15,16,17,57,60,63,28,00
64,15/07/1998,56,12,32,48,68,70,85,07,00
65,18/07/1998,57,01,36,42,71,72,88,90,00
66,22/07/1998,58,56,71,75,78,81,85,08,00
67,25/07/1998,59,25,37,54,63,70,76,07,00
68,29/07/1998,60,25,60,62,68,83,89,88,00
69,01/08/1998,61,05,14,37,38,50,72,90,00
70,05/08/1998,62,07,24,40,56,79,85,90,00
71,08/08/1998,63,12,27,31,32,57,83,42,00
72,12/08/1998,64,31,33,61,77,86,88,16,00
73,17/08/1998,65,04,47,53,55,71,73,80,00
74,19/08/1998,66,06,15,16,50,62,82,04,00
75,22/08/1998,67,10,36,48,63,83,90,32,00
76,26/08/1998,68,10,40,66,72,76,80,61,00
77,29/08/1998,69,12,19,22,53,72,88,34,00
78,02/09/1998,70,01,43,45,48,83,90,14,00
79,05/09/1998,71,15,16,20,23,24,87,77,00
80,09/09/1998,72,10,25,56,68,71,77,03,00
81,12/09/1998,73,14,37,48,55,84,87,23,00
82,16/09/1998,74,22,26,29,37,75,76,36,00
83,19/09/1998,75,03,33,45,57,78,80,65,00
84,23/09/1998,76,07,09,31,41,67,68,22,00
85,26/09/1998,77,28,31,40,67,74,90,61,00
86,30/09/1998,78,20,34,44,61,74,87,25,00
87,03/10/1998,79,02,09,13,34,46,63,85,00
88,07/10/1998,80,06,13,17,49,51,83,76,00
89,10/10/1998,81,42,43,46,49,52,76,48,00
90,14/10/1998,82,15,28,42,55,76,88,74,00
91,17/10/1998,83,10,13,50,59,64,78,23,00
92,21/10/1998,84,14,39,50,56,72,89,29,00
93,24/10/1998,85,04,26,27,74,77,84,20,00
94,28/10/1998,86,37,60,64,73,80,84,02,00
95,31/10/1998,87,01,21,30,61,73,84,74,00
96,04/11/1998,88,06,54,72,75,81,87,55,00
97,07/11/1998,89,15,19,25,33,40,68,81,00
98,11/11/1998,90,19,38,60,80,81,90,10,00
99,14/11/1998,91,06,31,69,70,76,85,44,00
100,18/11/1998,92,12,18,43,47,50,83,53,00
101,21/11/1998,93,32,36,43,56,66,89,08,00
102,25/11/1998,94,32,39,52,56,69,85,53,00
103,28/11/1998,95,12,15,40,50,66,88,70,00
104,02/12/1998,96,09,23,36,66,67,77,87,00
105,05/12/1998,97,27,35,47,48,59,79,77,00
106,09/12/1998,98,01,11,42,43,61,81,29,00
107,12/12/1998,99,09,37,39,40,42,86,02,00
108,16/12/1998,100,22,43,56,71,77,83,35,00
109,19/12/1998,101,03,06,13,28,49,50,33,00
110,23/12/1998,102,03,09,14,26,47,79,81,00
111,28/12/1998,103,14,43,46,65,71,82,22,00
112,30/12/1998,104,30,36,45,49,63,89,46,00
113,02/01/1999,01,10,12,54,58,72,88,23,00
114,07/01/1999,02,34,43,44,45,53,58,64,00
115,09/01/1999,03,01,06,13,23,53,77,20,00
116,13/01/1999,04,18,23,45,51,61,86,29,00
117,16/01/1999,05,07,09,12,37,86,90,87,00
118,20/01/1999,06,01,43,45,48,51,56,18,00
119,23/01/1999,07,36,45,46,47,74,75,69,00
120,27/01/1999,08,08,48,65,72,83,88,67,00
121,30/01/1999,09,14,20,40,58,68,84,88,00
122,03/02/1999,10,45,67,70,80,81,89,03,00
